,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
50701,50702,27-11-2022 02:24:15:186,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
50706,50707,27-11-2022 02:24:15:396,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50745,50746,27-11-2022 02:24:15:876,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
50756,50757,27-11-2022 02:24:16:059,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50769,50770,27-11-2022 02:24:16:388,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50786,50787,27-11-2022 02:24:16:598,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
50795,50796,27-11-2022 02:24:16:826,-,36:32:8B:57:D3:91,-79,0b4c0009060333c0a80106
50812,50813,27-11-2022 02:24:17:179,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50822,50823,27-11-2022 02:24:17:362,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50842,50843,27-11-2022 02:24:17:705,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
50853,50854,27-11-2022 02:24:17:899,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50880,50881,27-11-2022 02:24:18:392,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50887,50888,27-11-2022 02:24:18:455,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50905,50906,27-11-2022 02:24:18:835,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
50922,50923,27-11-2022 02:24:19:037,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50934,50935,27-11-2022 02:24:19:361,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50945,50946,27-11-2022 02:24:19:389,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50961,50962,27-11-2022 02:24:19:567,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
50982,50983,27-11-2022 02:24:19:946,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
50992,50993,27-11-2022 02:24:20:126,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51005,51006,27-11-2022 02:24:20:346,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51010,51011,27-11-2022 02:24:20:503,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
51025,51026,27-11-2022 02:24:20:676,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
51037,51038,27-11-2022 02:24:20:880,-,36:32:8B:57:D3:91,-76,0b4c0009060333c0a80106
51069,51070,27-11-2022 02:24:21:430,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51086,51087,27-11-2022 02:24:21:627,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
51102,51103,27-11-2022 02:24:21:806,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
51113,51114,27-11-2022 02:24:21:997,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51129,51130,27-11-2022 02:24:22:184,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51136,51137,27-11-2022 02:24:22:422,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51148,51149,27-11-2022 02:24:22:581,-,36:32:8B:57:D3:91,-79,0b4c0009060333c0a80106
51184,51185,27-11-2022 02:24:23:509,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51195,51196,27-11-2022 02:24:23:679,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51207,51208,27-11-2022 02:24:24:050,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
51228,51229,27-11-2022 02:24:24:794,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51238,51239,27-11-2022 02:24:25:162,-,36:32:8B:57:D3:91,-77,0b4c0009060333c0a80106
51257,51258,27-11-2022 02:24:25:533,-,36:32:8B:57:D3:91,-75,0b4c0009060333c0a80106
51285,51286,27-11-2022 02:24:25:891,-,36:32:8B:57:D3:91,-79,0b4c0009060333c0a80106
51307,51308,27-11-2022 02:24:26:428,-,36:32:8B:57:D3:91,-73,0b4c0009060333c0a80106
