,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
166,167,27-11-2022 02:10:06:863,-,50:84:89:62:E8:EA,-84,0b4c001006061d70c48468
309,310,27-11-2022 02:10:10:149,-,50:84:89:62:E8:EA,-85,0b4c001006061d70c48468
412,413,27-11-2022 02:10:11:817,-,50:84:89:62:E8:EA,-83,0b4c001006061d70c48468
490,491,27-11-2022 02:10:13:176,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
532,533,27-11-2022 02:10:13:725,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
563,564,27-11-2022 02:10:14:269,-,50:84:89:62:E8:EA,-92,0b4c001006061d70c48468
603,604,27-11-2022 02:10:14:830,-,50:84:89:62:E8:EA,-91,0b4c001006061d70c48468
620,621,27-11-2022 02:10:15:110,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
828,829,27-11-2022 02:10:18:412,-,50:84:89:62:E8:EA,-86,0b4c001006061d70c48468
887,888,27-11-2022 02:10:19:232,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
958,959,27-11-2022 02:10:20:326,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
1053,1054,27-11-2022 02:10:21:703,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
1073,1074,27-11-2022 02:10:21:977,-,50:84:89:62:E8:EA,-86,0b4c001006061d70c48468
1146,1147,27-11-2022 02:10:23:079,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
1184,1185,27-11-2022 02:10:23:638,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
1208,1209,27-11-2022 02:10:23:916,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
1282,1283,27-11-2022 02:10:25:302,-,50:84:89:62:E8:EA,-86,0b4c001006061d70c48468
1417,1418,27-11-2022 02:10:27:217,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
1512,1513,27-11-2022 02:10:28:599,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
1593,1594,27-11-2022 02:10:29:719,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
1650,1651,27-11-2022 02:10:30:534,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
1836,1837,27-11-2022 02:10:33:563,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
1920,1921,27-11-2022 02:10:34:950,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
1974,1975,27-11-2022 02:10:35:787,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
2253,2254,27-11-2022 02:10:41:021,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
2516,2517,27-11-2022 02:10:45:960,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
2920,2921,27-11-2022 02:10:53:385,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
2958,2959,27-11-2022 02:10:53:926,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
3011,3012,27-11-2022 02:10:54:768,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
3178,3179,27-11-2022 02:10:57:245,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
3277,3278,27-11-2022 02:10:58:899,-,50:84:89:62:E8:EA,-91,0b4c001006061d70c48468
3664,3665,27-11-2022 02:11:05:773,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
3740,3741,27-11-2022 02:11:06:890,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
4190,4191,27-11-2022 02:11:15:694,-,50:84:89:62:E8:EA,-86,0b4c001006061d70c48468
4233,4234,27-11-2022 02:11:16:238,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
4252,4253,27-11-2022 02:11:16:539,-,50:84:89:62:E8:EA,-86,0b4c001006061d70c48468
4277,4278,27-11-2022 02:11:16:792,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
4328,4329,27-11-2022 02:11:17:627,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
4458,4459,27-11-2022 02:11:19:564,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
4683,4684,27-11-2022 02:11:23:380,-,50:84:89:62:E8:EA,-90,0b4c001006061d70c48468
4755,4756,27-11-2022 02:11:24:492,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
4816,4817,27-11-2022 02:11:25:590,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
4838,4839,27-11-2022 02:11:25:870,-,50:84:89:62:E8:EA,-92,0b4c001006061d70c48468
4863,4864,27-11-2022 02:11:26:149,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
5006,5007,27-11-2022 02:11:28:339,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
5092,5093,27-11-2022 02:11:29:450,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
5131,5132,27-11-2022 02:11:30:026,-,50:84:89:62:E8:EA,-86,0b4c001006061d70c48468
5255,5256,27-11-2022 02:11:31:663,-,50:84:89:62:E8:EA,-86,0b4c001006061d70c48468
5471,5472,27-11-2022 02:11:35:249,-,50:84:89:62:E8:EA,-92,0b4c001006061d70c48468
5638,5639,27-11-2022 02:11:37:717,-,50:84:89:62:E8:EA,-90,0b4c001006061d70c48468
5794,5795,27-11-2022 02:11:40:238,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
5839,5840,27-11-2022 02:11:40:752,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
5867,5868,27-11-2022 02:11:41:299,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
5966,5967,27-11-2022 02:11:42:673,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
6038,6039,27-11-2022 02:11:43:786,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
6124,6125,27-11-2022 02:11:45:185,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
6197,6198,27-11-2022 02:11:46:266,-,50:84:89:62:E8:EA,-87,0b4c001006061d70c48468
6261,6262,27-11-2022 02:11:47:071,-,50:84:89:62:E8:EA,-88,0b4c001006061d70c48468
6307,6308,27-11-2022 02:11:47:876,-,50:84:89:62:E8:EA,-89,0b4c001006061d70c48468
