,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
50747,50748,27-11-2022 02:24:15:888,-,53:2F:AE:0A:D7:00,-73,0b4c001006011d2ed37958
50802,50803,27-11-2022 02:24:16:982,-,53:2F:AE:0A:D7:00,-74,0b4c001006011d2ed37958
50830,50831,27-11-2022 02:24:17:538,-,53:2F:AE:0A:D7:00,-73,0b4c001006011d2ed37958
50851,50852,27-11-2022 02:24:17:806,-,53:2F:AE:0A:D7:00,-74,0b4c001006011d2ed37958
50869,50870,27-11-2022 02:24:18:090,-,53:2F:AE:0A:D7:00,-74,0b4c001006011d2ed37958
50913,50914,27-11-2022 02:24:18:906,-,53:2F:AE:0A:D7:00,-73,0b4c001006011d2ed37958
50985,50986,27-11-2022 02:24:20:007,-,53:2F:AE:0A:D7:00,-73,0b4c001006011d2ed37958
51017,51018,27-11-2022 02:24:20:561,-,53:2F:AE:0A:D7:00,-72,0b4c001006011d2ed37958
51065,51066,27-11-2022 02:24:21:385,-,53:2F:AE:0A:D7:00,-75,0b4c001006011d2ed37958
51111,51112,27-11-2022 02:24:21:929,-,53:2F:AE:0A:D7:00,-73,0b4c001006011d2ed37958
51159,51160,27-11-2022 02:24:22:744,-,53:2F:AE:0A:D7:00,-73,0b4c001006011d2ed37958
51219,51220,27-11-2022 02:24:24:423,-,53:2F:AE:0A:D7:00,-75,0b4c001006011d2ed37958
51256,51257,27-11-2022 02:24:25:526,-,53:2F:AE:0A:D7:00,-75,0b4c001006011d2ed37958
51278,51279,27-11-2022 02:24:25:806,-,53:2F:AE:0A:D7:00,-75,0b4c001006011d2ed37958
51327,51328,27-11-2022 02:24:26:633,-,53:2F:AE:0A:D7:00,-76,0b4c001006011d2ed37958
51342,51343,27-11-2022 02:24:26:897,-,53:2F:AE:0A:D7:00,-74,0b4c001006011d2ed37958
51365,51366,27-11-2022 02:24:27:164,-,53:2F:AE:0A:D7:00,-76,0b4c001006011d2ed37958
51385,51386,27-11-2022 02:24:27:445,-,53:2F:AE:0A:D7:00,-73,0b4c001006011d2ed37958
51401,51402,27-11-2022 02:24:27:716,-,53:2F:AE:0A:D7:00,-75,0b4c001006011d2ed37958
51417,51418,27-11-2022 02:24:27:998,-,53:2F:AE:0A:D7:00,-75,0b4c001006011d2ed37958
51456,51457,27-11-2022 02:24:28:562,-,53:2F:AE:0A:D7:00,-73,0b4c001006011d2ed37958
51471,51472,27-11-2022 02:24:28:853,-,53:2F:AE:0A:D7:00,-74,0b4c001006011d2ed37958
