,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
1010,1011,27-11-2022 02:10:21:055,-,63:23:23:FD:39:C3,-89,09e000010cca645fea
3219,3220,27-11-2022 02:10:57:952,-,63:23:23:FD:39:C3,-90,09e000010cca645fea
4308,4309,27-11-2022 02:11:17:315,-,63:23:23:FD:39:C3,-91,09e000010cca645fea
10208,10209,27-11-2022 02:12:53:044,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
11564,11565,27-11-2022 02:13:15:509,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
12779,12780,27-11-2022 02:13:35:937,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
12938,12939,27-11-2022 02:13:38:756,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
13748,13749,27-11-2022 02:13:52:702,-,63:23:23:FD:39:C3,-94,09e000010cca645fea
17703,17704,27-11-2022 02:15:00:520,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
17744,17745,27-11-2022 02:15:01:277,-,63:23:23:FD:39:C3,-91,09e000010cca645fea
21730,21731,27-11-2022 02:16:08:686,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
22525,22526,27-11-2022 02:16:22:827,-,63:23:23:FD:39:C3,-91,09e000010cca645fea
22695,22696,27-11-2022 02:16:25:448,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
24781,24782,27-11-2022 02:16:58:976,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
25282,25283,27-11-2022 02:17:07:183,-,63:23:23:FD:39:C3,-93,09e000010cca645fea
25910,25911,27-11-2022 02:17:18:778,-,63:23:23:FD:39:C3,-91,09e000010cca645fea
26314,26315,27-11-2022 02:17:26:319,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
26872,26873,27-11-2022 02:17:35:799,-,63:23:23:FD:39:C3,-90,09e000010cca645fea
27048,27049,27-11-2022 02:17:38:895,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
27410,27411,27-11-2022 02:17:45:581,-,63:23:23:FD:39:C3,-89,09e000010cca645fea
27679,27680,27-11-2022 02:17:50:987,-,63:23:23:FD:39:C3,-90,09e000010cca645fea
27752,27753,27-11-2022 02:17:52:305,-,63:23:23:FD:39:C3,-89,09e000010cca645fea
27887,27888,27-11-2022 02:17:54:863,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
28333,28334,27-11-2022 02:18:02:580,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
29783,29784,27-11-2022 02:18:27:304,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
29940,29941,27-11-2022 02:18:29:893,-,63:23:23:FD:39:C3,-93,09e000010cca645fea
30299,30300,27-11-2022 02:18:36:090,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
30501,30502,27-11-2022 02:18:39:339,-,63:23:23:FD:39:C3,-90,09e000010cca645fea
31438,31439,27-11-2022 02:18:55:470,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
31728,31729,27-11-2022 02:19:00:128,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
32905,32906,27-11-2022 02:19:20:765,-,63:23:23:FD:39:C3,-93,09e000010cca645fea
34324,34325,27-11-2022 02:19:44:713,-,63:23:23:FD:39:C3,-92,09e000010cca645fea
