,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
61,62,27-11-2022 02:10:05:284,-,C2:E6:1E:A2:56:F8,-86,074c0012020001
274,275,27-11-2022 02:10:09:303,-,C2:E6:1E:A2:56:F8,-84,074c0012020001
379,380,27-11-2022 02:10:11:309,-,C2:E6:1E:A2:56:F8,-84,074c0012020001
501,502,27-11-2022 02:10:13:320,-,C2:E6:1E:A2:56:F8,-89,074c0012020001
636,637,27-11-2022 02:10:15:316,-,C2:E6:1E:A2:56:F8,-87,074c0012020001
897,898,27-11-2022 02:10:19:329,-,C2:E6:1E:A2:56:F8,-80,074c0012020001
1165,1166,27-11-2022 02:10:23:349,-,C2:E6:1E:A2:56:F8,-87,074c0012020001
1566,1567,27-11-2022 02:10:29:383,-,C2:E6:1E:A2:56:F8,-80,074c0012020001
1709,1710,27-11-2022 02:10:31:364,-,C2:E6:1E:A2:56:F8,-89,074c0012020001
1952,1953,27-11-2022 02:10:35:374,-,C2:E6:1E:A2:56:F8,-88,074c0012020001
2078,2079,27-11-2022 02:10:37:382,-,C2:E6:1E:A2:56:F8,-88,074c0012020001
2155,2156,27-11-2022 02:10:39:392,-,C2:E6:1E:A2:56:F8,-84,074c0012020001
2283,2284,27-11-2022 02:10:41:401,-,C2:E6:1E:A2:56:F8,-92,074c0012020001
2407,2408,27-11-2022 02:10:43:395,-,C2:E6:1E:A2:56:F8,-88,074c0012020001
2704,2705,27-11-2022 02:10:49:423,-,C2:E6:1E:A2:56:F8,-84,074c0012020001
2924,2925,27-11-2022 02:10:53:428,-,C2:E6:1E:A2:56:F8,-80,074c0012020001
3523,3524,27-11-2022 02:11:03:465,-,C2:E6:1E:A2:56:F8,-80,074c0012020001
4056,4057,27-11-2022 02:11:13:512,-,C2:E6:1E:A2:56:F8,-89,074c0012020001
4322,4323,27-11-2022 02:11:17:503,-,C2:E6:1E:A2:56:F8,-80,074c0012020001
4568,4569,27-11-2022 02:11:21:508,-,C2:E6:1E:A2:56:F8,-81,074c0012020001
4814,4815,27-11-2022 02:11:25:528,-,C2:E6:1E:A2:56:F8,-80,074c0012020001
5380,5381,27-11-2022 02:11:33:556,-,C2:E6:1E:A2:56:F8,-85,074c0012020001
5489,5490,27-11-2022 02:11:35:555,-,C2:E6:1E:A2:56:F8,-83,074c0012020001
5623,5624,27-11-2022 02:11:37:577,-,C2:E6:1E:A2:56:F8,-85,074c0012020001
6947,6948,27-11-2022 02:11:57:605,-,C2:E6:1E:A2:56:F8,-81,074c0012020001
7354,7355,27-11-2022 02:12:03:628,-,C2:E6:1E:A2:56:F8,-92,074c0012020001
7472,7473,27-11-2022 02:12:05:634,-,C2:E6:1E:A2:56:F8,-85,074c0012020001
7588,7589,27-11-2022 02:12:07:646,-,C2:E6:1E:A2:56:F8,-86,074c0012020001
7981,7982,27-11-2022 02:12:16:281,-,C2:E6:1E:A2:56:F8,-89,074c0012020001
8222,8223,27-11-2022 02:12:20:245,-,C2:E6:1E:A2:56:F8,-88,074c0012020001
8317,8318,27-11-2022 02:12:22:267,-,C2:E6:1E:A2:56:F8,-71,074c0012020001
8398,8399,27-11-2022 02:12:24:258,-,C2:E6:1E:A2:56:F8,-77,074c0012020001
8506,8507,27-11-2022 02:12:26:266,-,C2:E6:1E:A2:56:F8,-90,074c0012020001
8915,8916,27-11-2022 02:12:32:293,-,C2:E6:1E:A2:56:F8,-86,074c0012020001
9028,9029,27-11-2022 02:12:34:288,-,C2:E6:1E:A2:56:F8,-77,074c0012020001
9134,9135,27-11-2022 02:12:36:284,-,C2:E6:1E:A2:56:F8,-78,074c0012020001
9409,9410,27-11-2022 02:12:40:299,-,C2:E6:1E:A2:56:F8,-87,074c0012020001
9525,9526,27-11-2022 02:12:42:320,-,C2:E6:1E:A2:56:F8,-89,074c0012020001
9644,9645,27-11-2022 02:12:44:306,-,C2:E6:1E:A2:56:F8,-78,074c0012020001
10012,10013,27-11-2022 02:12:50:333,-,C2:E6:1E:A2:56:F8,-88,074c0012020001
10271,10272,27-11-2022 02:12:54:343,-,C2:E6:1E:A2:56:F8,-82,074c0012020001
11162,11163,27-11-2022 02:13:08:394,-,C2:E6:1E:A2:56:F8,-87,074c0012020001
11275,11276,27-11-2022 02:13:10:430,-,C2:E6:1E:A2:56:F8,-86,074c0012020001
11736,11737,27-11-2022 02:13:18:426,-,C2:E6:1E:A2:56:F8,-85,074c0012020001
11972,11973,27-11-2022 02:13:22:452,-,C2:E6:1E:A2:56:F8,-78,074c0012020001
12320,12321,27-11-2022 02:13:28:488,-,C2:E6:1E:A2:56:F8,-86,074c0012020001
12684,12685,27-11-2022 02:13:34:490,-,C2:E6:1E:A2:56:F8,-79,074c0012020001
13290,13291,27-11-2022 02:13:44:547,-,C2:E6:1E:A2:56:F8,-94,074c0012020001
13541,13542,27-11-2022 02:13:48:533,-,C2:E6:1E:A2:56:F8,-79,074c0012020001
13627,13628,27-11-2022 02:13:50:535,-,C2:E6:1E:A2:56:F8,-79,074c0012020001
13846,13847,27-11-2022 02:13:54:541,-,C2:E6:1E:A2:56:F8,-90,074c0012020001
13955,13956,27-11-2022 02:13:56:548,-,C2:E6:1E:A2:56:F8,-91,074c0012020001
14408,14409,27-11-2022 02:14:04:572,-,C2:E6:1E:A2:56:F8,-88,074c0012020001
15657,15658,27-11-2022 02:14:26:641,-,C2:E6:1E:A2:56:F8,-92,074c0012020001
15783,15784,27-11-2022 02:14:28:632,-,C2:E6:1E:A2:56:F8,-81,074c0012020001
15913,15914,27-11-2022 02:14:30:640,-,C2:E6:1E:A2:56:F8,-82,074c0012020001
