,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
70898,70899,27-11-2022 02:30:02:053,-,C1:C3:6E:5D:0C:03,-81,074c0012020001
71249,71250,27-11-2022 02:30:08:067,-,C1:C3:6E:5D:0C:03,-85,074c0012020001
71346,71347,27-11-2022 02:30:10:089,-,C1:C3:6E:5D:0C:03,-84,074c0012020001
71467,71468,27-11-2022 02:30:12:092,-,C1:C3:6E:5D:0C:03,-82,074c0012020001
71705,71706,27-11-2022 02:30:16:106,-,C1:C3:6E:5D:0C:03,-89,074c0012020001
71798,71799,27-11-2022 02:30:18:103,-,C1:C3:6E:5D:0C:03,-88,074c0012020001
71907,71908,27-11-2022 02:30:20:109,-,C1:C3:6E:5D:0C:03,-84,074c0012020001
72035,72036,27-11-2022 02:30:22:133,-,C1:C3:6E:5D:0C:03,-84,074c0012020001
72149,72150,27-11-2022 02:30:24:101,-,C1:C3:6E:5D:0C:03,-82,074c0012020001
72257,72258,27-11-2022 02:30:26:122,-,C1:C3:6E:5D:0C:03,-89,074c0012020001
72377,72378,27-11-2022 02:30:28:124,-,C1:C3:6E:5D:0C:03,-89,074c0012020001
72458,72459,27-11-2022 02:30:30:110,-,C1:C3:6E:5D:0C:03,-85,074c0012020001
73095,73096,27-11-2022 02:30:42:137,-,C1:C3:6E:5D:0C:03,-81,074c0012020001
73414,73415,27-11-2022 02:30:48:152,-,C1:C3:6E:5D:0C:03,-85,074c0012020001
73866,73867,27-11-2022 02:30:56:523,-,C1:C3:6E:5D:0C:03,-91,074c0012020001
73965,73966,27-11-2022 02:30:58:186,-,C1:C3:6E:5D:0C:03,-89,074c0012020001
74065,74066,27-11-2022 02:31:00:173,-,C1:C3:6E:5D:0C:03,-81,074c0012020001
74185,74186,27-11-2022 02:31:02:488,-,C1:C3:6E:5D:0C:03,-81,074c0012020001
74547,74548,27-11-2022 02:31:08:460,-,C1:C3:6E:5D:0C:03,-82,074c0012020001
74921,74922,27-11-2022 02:31:14:422,-,C1:C3:6E:5D:0C:03,-89,074c0012020001
75033,75034,27-11-2022 02:31:16:411,-,C1:C3:6E:5D:0C:03,-83,074c0012020001
75413,75414,27-11-2022 02:31:22:460,-,C1:C3:6E:5D:0C:03,-81,074c0012020001
75648,75649,27-11-2022 02:31:26:452,-,C1:C3:6E:5D:0C:03,-81,074c0012020001
75884,75885,27-11-2022 02:31:30:458,-,C1:C3:6E:5D:0C:03,-90,074c0012020001
76077,76078,27-11-2022 02:31:34:462,-,C1:C3:6E:5D:0C:03,-84,074c0012020001
76189,76190,27-11-2022 02:31:36:458,-,C1:C3:6E:5D:0C:03,-83,074c0012020001
76306,76307,27-11-2022 02:31:38:458,-,C1:C3:6E:5D:0C:03,-82,074c0012020001
