,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
852,853,27-11-2022 02:10:18:658,-,6B:B3:B5:A4:9F:83,-88,0a4c0010057b1c1d1021
1723,1724,27-11-2022 02:10:31:624,-,6B:B3:B5:A4:9F:83,-92,0a4c0010057b1c1d1021
6607,6608,27-11-2022 02:11:52:247,-,6B:B3:B5:A4:9F:83,-84,0a4c0010057b1c1d1021
6768,6769,27-11-2022 02:11:54:671,-,6B:B3:B5:A4:9F:83,-87,0a4c0010057b1c1d1021
6900,6901,27-11-2022 02:11:56:874,-,6B:B3:B5:A4:9F:83,-89,0a4c0010057b1c1d1021
7090,7091,27-11-2022 02:11:59:627,-,6B:B3:B5:A4:9F:83,-87,0a4c0010057b1c1d1021
11887,11888,27-11-2022 02:13:21:146,-,6B:B3:B5:A4:9F:83,-88,0a4c0010057b1c1d1021
13813,13814,27-11-2022 02:13:53:993,-,6B:B3:B5:A4:9F:83,-89,0a4c0010057b1c1d1021
14770,14771,27-11-2022 02:14:10:495,-,6B:B3:B5:A4:9F:83,-88,0a4c0010057b1c1d1021
15228,15229,27-11-2022 02:14:19:838,-,6B:B3:B5:A4:9F:83,-90,0a4c0010057b1c1d1021
15434,15435,27-11-2022 02:14:23:157,-,6B:B3:B5:A4:9F:83,-90,0a4c0010057b1c1d1021
15749,15750,27-11-2022 02:14:28:086,-,6B:B3:B5:A4:9F:83,-88,0a4c0010057b1c1d1021
15907,15908,27-11-2022 02:14:30:549,-,6B:B3:B5:A4:9F:83,-92,0a4c0010057b1c1d1021
19719,19720,27-11-2022 02:15:35:042,-,6B:B3:B5:A4:9F:83,-88,0a4c0010057b1c1d1021
24909,24910,27-11-2022 02:17:01:071,-,6B:B3:B5:A4:9F:83,-92,0a4c0010057b1c1d1021
26021,26022,27-11-2022 02:17:20:595,-,6B:B3:B5:A4:9F:83,-90,0a4c0010057b1c1d1021
27380,27381,27-11-2022 02:17:45:071,-,6B:B3:B5:A4:9F:83,-86,0a4c0010057b1c1d1021
27580,27581,27-11-2022 02:17:48:684,-,6B:B3:B5:A4:9F:83,-93,0a4c0010057b1c1d1021
27845,27846,27-11-2022 02:17:54:160,-,6B:B3:B5:A4:9F:83,-89,0a4c0010057b1c1d1021
28137,28138,27-11-2022 02:17:58:575,-,6B:B3:B5:A4:9F:83,-90,0a4c0010057b1c1d1021
28468,28469,27-11-2022 02:18:04:634,-,6B:B3:B5:A4:9F:83,-89,0a4c0010057b1c1d1021
29350,29351,27-11-2022 02:18:20:064,-,6B:B3:B5:A4:9F:83,-92,0a4c0010057b1c1d1021
30939,30940,27-11-2022 02:18:46:309,-,6B:B3:B5:A4:9F:83,-88,0a4c0010057b1c1d1021
