,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
2,3,27-11-2022 02:10:04:256,-,33:4D:C7:0C:A0:F1,-81,0b4c0009060333c0a80106
20,21,27-11-2022 02:10:04:624,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
54,55,27-11-2022 02:10:05:175,-,33:4D:C7:0C:A0:F1,-85,0b4c0009060333c0a80106
66,67,27-11-2022 02:10:05:363,-,33:4D:C7:0C:A0:F1,-82,0b4c0009060333c0a80106
90,91,27-11-2022 02:10:05:760,-,33:4D:C7:0C:A0:F1,-73,0b4c0009060333c0a80106
107,108,27-11-2022 02:10:05:925,-,33:4D:C7:0C:A0:F1,-73,0b4c0009060333c0a80106
134,135,27-11-2022 02:10:06:308,-,33:4D:C7:0C:A0:F1,-77,0b4c0009060333c0a80106
178,179,27-11-2022 02:10:07:043,-,33:4D:C7:0C:A0:F1,-77,0b4c0009060333c0a80106
187,188,27-11-2022 02:10:07:229,-,33:4D:C7:0C:A0:F1,-70,0b4c0009060333c0a80106
195,196,27-11-2022 02:10:07:413,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
202,203,27-11-2022 02:10:07:605,-,33:4D:C7:0C:A0:F1,-82,0b4c0009060333c0a80106
210,211,27-11-2022 02:10:07:798,-,33:4D:C7:0C:A0:F1,-84,0b4c0009060333c0a80106
225,226,27-11-2022 02:10:08:179,-,33:4D:C7:0C:A0:F1,-70,0b4c0009060333c0a80106
238,239,27-11-2022 02:10:08:547,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
246,247,27-11-2022 02:10:08:738,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
256,257,27-11-2022 02:10:08:915,-,33:4D:C7:0C:A0:F1,-76,0b4c0009060333c0a80106
265,266,27-11-2022 02:10:09:101,-,33:4D:C7:0C:A0:F1,-68,0b4c0009060333c0a80106
272,273,27-11-2022 02:10:09:285,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
278,279,27-11-2022 02:10:09:487,-,33:4D:C7:0C:A0:F1,-78,0b4c0009060333c0a80106
288,289,27-11-2022 02:10:09:672,-,33:4D:C7:0C:A0:F1,-83,0b4c0009060333c0a80106
294,295,27-11-2022 02:10:09:865,-,33:4D:C7:0C:A0:F1,-77,0b4c0009060333c0a80106
316,317,27-11-2022 02:10:10:232,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
334,335,27-11-2022 02:10:10:419,-,33:4D:C7:0C:A0:F1,-71,0b4c0009060333c0a80106
343,344,27-11-2022 02:10:10:624,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
357,358,27-11-2022 02:10:10:794,-,33:4D:C7:0C:A0:F1,-73,0b4c0009060333c0a80106
363,364,27-11-2022 02:10:10:982,-,33:4D:C7:0C:A0:F1,-78,0b4c0009060333c0a80106
371,372,27-11-2022 02:10:11:173,-,33:4D:C7:0C:A0:F1,-83,0b4c0009060333c0a80106
381,382,27-11-2022 02:10:11:351,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
396,397,27-11-2022 02:10:11:533,-,33:4D:C7:0C:A0:F1,-70,0b4c0009060333c0a80106
404,405,27-11-2022 02:10:11:724,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
442,443,27-11-2022 02:10:12:463,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
457,458,27-11-2022 02:10:12:647,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
468,469,27-11-2022 02:10:12:832,-,33:4D:C7:0C:A0:F1,-73,0b4c0009060333c0a80106
481,482,27-11-2022 02:10:13:023,-,33:4D:C7:0C:A0:F1,-78,0b4c0009060333c0a80106
491,492,27-11-2022 02:10:13:193,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
506,507,27-11-2022 02:10:13:378,-,33:4D:C7:0C:A0:F1,-80,0b4c0009060333c0a80106
520,521,27-11-2022 02:10:13:585,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
536,537,27-11-2022 02:10:13:757,-,33:4D:C7:0C:A0:F1,-74,0b4c0009060333c0a80106
544,545,27-11-2022 02:10:13:946,-,33:4D:C7:0C:A0:F1,-69,0b4c0009060333c0a80106
554,555,27-11-2022 02:10:14:123,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
566,567,27-11-2022 02:10:14:312,-,33:4D:C7:0C:A0:F1,-84,0b4c0009060333c0a80106
584,585,27-11-2022 02:10:14:499,-,33:4D:C7:0C:A0:F1,-79,0b4c0009060333c0a80106
593,594,27-11-2022 02:10:14:700,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
615,616,27-11-2022 02:10:15:074,-,33:4D:C7:0C:A0:F1,-73,0b4c0009060333c0a80106
630,631,27-11-2022 02:10:15:244,-,33:4D:C7:0C:A0:F1,-74,0b4c0009060333c0a80106
644,645,27-11-2022 02:10:15:434,-,33:4D:C7:0C:A0:F1,-73,0b4c0009060333c0a80106
655,656,27-11-2022 02:10:15:630,-,33:4D:C7:0C:A0:F1,-80,0b4c0009060333c0a80106
669,670,27-11-2022 02:10:15:827,-,33:4D:C7:0C:A0:F1,-78,0b4c0009060333c0a80106
686,687,27-11-2022 02:10:16:018,-,33:4D:C7:0C:A0:F1,-71,0b4c0009060333c0a80106
696,697,27-11-2022 02:10:16:209,-,33:4D:C7:0C:A0:F1,-76,0b4c0009060333c0a80106
705,706,27-11-2022 02:10:16:383,-,33:4D:C7:0C:A0:F1,-74,0b4c0009060333c0a80106
725,726,27-11-2022 02:10:16:760,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
736,737,27-11-2022 02:10:16:951,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
750,751,27-11-2022 02:10:17:133,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
760,761,27-11-2022 02:10:17:323,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
786,787,27-11-2022 02:10:17:692,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
799,800,27-11-2022 02:10:17:886,-,33:4D:C7:0C:A0:F1,-74,0b4c0009060333c0a80106
812,813,27-11-2022 02:10:18:062,-,33:4D:C7:0C:A0:F1,-73,0b4c0009060333c0a80106
850,851,27-11-2022 02:10:18:622,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
884,885,27-11-2022 02:10:19:205,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
901,902,27-11-2022 02:10:19:362,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
912,913,27-11-2022 02:10:19:549,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
926,927,27-11-2022 02:10:19:746,-,33:4D:C7:0C:A0:F1,-78,0b4c0009060333c0a80106
932,933,27-11-2022 02:10:19:925,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
945,946,27-11-2022 02:10:20:112,-,33:4D:C7:0C:A0:F1,-74,0b4c0009060333c0a80106
969,970,27-11-2022 02:10:20:495,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
982,983,27-11-2022 02:10:20:677,-,33:4D:C7:0C:A0:F1,-74,0b4c0009060333c0a80106
996,997,27-11-2022 02:10:20:853,-,33:4D:C7:0C:A0:F1,-74,0b4c0009060333c0a80106
1009,1010,27-11-2022 02:10:21:043,-,33:4D:C7:0C:A0:F1,-75,0b4c0009060333c0a80106
1048,1049,27-11-2022 02:10:21:616,-,33:4D:C7:0C:A0:F1,-72,0b4c0009060333c0a80106
1059,1060,27-11-2022 02:10:21:823,-,33:4D:C7:0C:A0:F1,-74,0b4c0009060333c0a80106
1078,1079,27-11-2022 02:10:22:021,-,33:4D:C7:0C:A0:F1,-76,0b4c0009060333c0a80106
