,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
59369,59370,27-11-2022 02:26:44:406,-,56:5A:D3:74:15:A4,-76,0b4c001006041e0cddd561
59493,59494,27-11-2022 02:26:47:573,-,56:5A:D3:74:15:A4,-72,0b4c001006041e0cddd561
59518,59519,27-11-2022 02:26:48:120,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
59534,59535,27-11-2022 02:26:48:394,-,56:5A:D3:74:15:A4,-79,0b4c001006041e0cddd561
59576,59577,27-11-2022 02:26:48:929,-,56:5A:D3:74:15:A4,-77,0b4c001006041e0cddd561
59614,59615,27-11-2022 02:26:49:474,-,56:5A:D3:74:15:A4,-79,0b4c001006041e0cddd561
59631,59632,27-11-2022 02:26:49:760,-,56:5A:D3:74:15:A4,-75,0b4c001006041e0cddd561
59644,59645,27-11-2022 02:26:50:015,-,56:5A:D3:74:15:A4,-74,0b4c001006041e0cddd561
59713,59714,27-11-2022 02:26:51:380,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
59732,59733,27-11-2022 02:26:51:706,-,56:5A:D3:74:15:A4,-79,0b4c001006041e0cddd561
59770,59771,27-11-2022 02:26:52:418,-,56:5A:D3:74:15:A4,-74,0b4c001006041e0cddd561
59825,59826,27-11-2022 02:26:53:026,-,56:5A:D3:74:15:A4,-78,0b4c001006041e0cddd561
59897,59898,27-11-2022 02:26:54:650,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
59918,59919,27-11-2022 02:26:54:924,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
59934,59935,27-11-2022 02:26:55:398,-,56:5A:D3:74:15:A4,-79,0b4c001006041e0cddd561
59978,59979,27-11-2022 02:26:56:012,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
59996,59997,27-11-2022 02:26:56:353,-,56:5A:D3:74:15:A4,-79,0b4c001006041e0cddd561
60007,60008,27-11-2022 02:26:56:559,-,56:5A:D3:74:15:A4,-75,0b4c001006041e0cddd561
60052,60053,27-11-2022 02:26:57:103,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
60125,60126,27-11-2022 02:26:58:176,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
60180,60181,27-11-2022 02:26:59:004,-,56:5A:D3:74:15:A4,-75,0b4c001006041e0cddd561
60208,60209,27-11-2022 02:26:59:537,-,56:5A:D3:74:15:A4,-82,0b4c001006041e0cddd561
60264,60265,27-11-2022 02:27:00:423,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
60293,60294,27-11-2022 02:27:00:903,-,56:5A:D3:74:15:A4,-79,0b4c001006041e0cddd561
60323,60324,27-11-2022 02:27:01:452,-,56:5A:D3:74:15:A4,-72,0b4c001006041e0cddd561
60425,60426,27-11-2022 02:27:03:422,-,56:5A:D3:74:15:A4,-72,0b4c001006041e0cddd561
60439,60440,27-11-2022 02:27:03:647,-,56:5A:D3:74:15:A4,-68,0b4c001006041e0cddd561
60461,60462,27-11-2022 02:27:03:934,-,56:5A:D3:74:15:A4,-69,0b4c001006041e0cddd561
60536,60537,27-11-2022 02:27:05:441,-,56:5A:D3:74:15:A4,-78,0b4c001006041e0cddd561
