,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
15,16,27-11-2022 02:10:04:529,-,4B:EA:DC:8A:F4:95,-66,0e4c000f0598006b9b7210022804
50,51,27-11-2022 02:10:05:093,-,4B:EA:DC:8A:F4:95,-76,0e4c000f0598006b9b7210022804
75,76,27-11-2022 02:10:05:466,-,4B:EA:DC:8A:F4:95,-75,0e4c000f0598006b9b7210022804
99,100,27-11-2022 02:10:05:848,-,4B:EA:DC:8A:F4:95,-66,0e4c000f0598006b9b7210022804
114,115,27-11-2022 02:10:06:038,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
127,128,27-11-2022 02:10:06:217,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
173,174,27-11-2022 02:10:06:973,-,4B:EA:DC:8A:F4:95,-72,0e4c000f0598006b9b7210022804
191,192,27-11-2022 02:10:07:346,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
242,243,27-11-2022 02:10:08:667,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
284,285,27-11-2022 02:10:09:607,-,4B:EA:DC:8A:F4:95,-70,0e4c000f0598006b9b7210022804
313,314,27-11-2022 02:10:10:188,-,4B:EA:DC:8A:F4:95,-67,0e4c000f0598006b9b7210022804
369,370,27-11-2022 02:10:11:116,-,4B:EA:DC:8A:F4:95,-79,0e4c000f0598006b9b7210022804
378,379,27-11-2022 02:10:11:295,-,4B:EA:DC:8A:F4:95,-64,0e4c000f0598006b9b7210022804
390,391,27-11-2022 02:10:11:476,-,4B:EA:DC:8A:F4:95,-69,0e4c000f0598006b9b7210022804
439,440,27-11-2022 02:10:12:428,-,4B:EA:DC:8A:F4:95,-69,0e4c000f0598006b9b7210022804
465,466,27-11-2022 02:10:12:799,-,4B:EA:DC:8A:F4:95,-70,0e4c000f0598006b9b7210022804
478,479,27-11-2022 02:10:12:982,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
489,490,27-11-2022 02:10:13:164,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
517,518,27-11-2022 02:10:13:547,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
542,543,27-11-2022 02:10:13:920,-,4B:EA:DC:8A:F4:95,-71,0e4c000f0598006b9b7210022804
582,583,27-11-2022 02:10:14:479,-,4B:EA:DC:8A:F4:95,-75,0e4c000f0598006b9b7210022804
592,593,27-11-2022 02:10:14:670,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
613,614,27-11-2022 02:10:15:051,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
629,630,27-11-2022 02:10:15:232,-,4B:EA:DC:8A:F4:95,-75,0e4c000f0598006b9b7210022804
643,644,27-11-2022 02:10:15:415,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
665,666,27-11-2022 02:10:15:795,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
692,693,27-11-2022 02:10:16:184,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
711,712,27-11-2022 02:10:16:547,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
734,735,27-11-2022 02:10:16:922,-,4B:EA:DC:8A:F4:95,-69,0e4c000f0598006b9b7210022804
773,774,27-11-2022 02:10:17:485,-,4B:EA:DC:8A:F4:95,-72,0e4c000f0598006b9b7210022804
810,811,27-11-2022 02:10:18:038,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
822,823,27-11-2022 02:10:18:228,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
849,850,27-11-2022 02:10:18:602,-,4B:EA:DC:8A:F4:95,-75,0e4c000f0598006b9b7210022804
883,884,27-11-2022 02:10:19:166,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
899,900,27-11-2022 02:10:19:347,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
981,982,27-11-2022 02:10:20:670,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
995,996,27-11-2022 02:10:20:849,-,4B:EA:DC:8A:F4:95,-73,0e4c000f0598006b9b7210022804
1008,1009,27-11-2022 02:10:21:037,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1032,1033,27-11-2022 02:10:21:408,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1056,1057,27-11-2022 02:10:21:790,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1074,1075,27-11-2022 02:10:21:990,-,4B:EA:DC:8A:F4:95,-75,0e4c000f0598006b9b7210022804
1149,1150,27-11-2022 02:10:23:101,-,4B:EA:DC:8A:F4:95,-73,0e4c000f0598006b9b7210022804
1159,1160,27-11-2022 02:10:23:294,-,4B:EA:DC:8A:F4:95,-72,0e4c000f0598006b9b7210022804
1175,1176,27-11-2022 02:10:23:477,-,4B:EA:DC:8A:F4:95,-72,0e4c000f0598006b9b7210022804
1188,1189,27-11-2022 02:10:23:667,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1200,1201,27-11-2022 02:10:23:858,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1260,1261,27-11-2022 02:10:24:975,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1287,1288,27-11-2022 02:10:25:353,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1323,1324,27-11-2022 02:10:25:935,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1348,1349,27-11-2022 02:10:26:301,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1367,1368,27-11-2022 02:10:26:486,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1404,1405,27-11-2022 02:10:27:038,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1420,1421,27-11-2022 02:10:27:241,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1444,1445,27-11-2022 02:10:27:598,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1493,1494,27-11-2022 02:10:28:348,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1506,1507,27-11-2022 02:10:28:538,-,4B:EA:DC:8A:F4:95,-73,0e4c000f0598006b9b7210022804
1576,1577,27-11-2022 02:10:29:477,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1603,1604,27-11-2022 02:10:29:852,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1658,1659,27-11-2022 02:10:30:627,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1673,1674,27-11-2022 02:10:30:795,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1684,1685,27-11-2022 02:10:30:996,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1768,1769,27-11-2022 02:10:32:471,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1778,1779,27-11-2022 02:10:32:687,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1792,1793,27-11-2022 02:10:32:848,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1806,1807,27-11-2022 02:10:33:035,-,4B:EA:DC:8A:F4:95,-72,0e4c000f0598006b9b7210022804
1839,1840,27-11-2022 02:10:33:601,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
1847,1848,27-11-2022 02:10:33:793,-,4B:EA:DC:8A:F4:95,-74,0e4c000f0598006b9b7210022804
1895,1896,27-11-2022 02:10:34:548,-,4B:EA:DC:8A:F4:95,-68,0e4c000f0598006b9b7210022804
