,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
1994,1995,27-11-2022 02:10:36:058,-,70:F7:88:9D:F2:3E,-92,09e0000119ca664567
4773,4774,27-11-2022 02:11:24:858,-,70:F7:88:9D:F2:3E,-92,09e0000119ca664567
6553,6554,27-11-2022 02:11:51:542,-,70:F7:88:9D:F2:3E,-90,09e0000119ca664567
7253,7254,27-11-2022 02:12:02:056,-,70:F7:88:9D:F2:3E,-90,09e0000119ca664567
7454,7455,27-11-2022 02:12:05:131,-,70:F7:88:9D:F2:3E,-90,09e0000119ca664567
7669,7670,27-11-2022 02:12:08:987,-,70:F7:88:9D:F2:3E,-91,09e0000119ca664567
23435,23436,27-11-2022 02:16:37:321,-,70:F7:88:9D:F2:3E,-92,09e0000119ca664567
23849,23850,27-11-2022 02:16:44:495,-,70:F7:88:9D:F2:3E,-90,09e0000119ca664567
26289,26290,27-11-2022 02:17:25:868,-,70:F7:88:9D:F2:3E,-90,09e0000119ca664567
28584,28585,27-11-2022 02:18:06:700,-,70:F7:88:9D:F2:3E,-91,09e0000119ca664567
28840,28841,27-11-2022 02:18:10:296,-,70:F7:88:9D:F2:3E,-92,09e0000119ca664567
39606,39607,27-11-2022 02:21:11:350,-,70:F7:88:9D:F2:3E,-90,09e0000119ca664567
