,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
70974,70975,27-11-2022 02:30:03:442,-,CA:00:44:9E:06:4B,-86,074c0012020002
71089,71090,27-11-2022 02:30:05:462,-,CA:00:44:9E:06:4B,-86,074c0012020002
71419,71420,27-11-2022 02:30:11:479,-,CA:00:44:9E:06:4B,-90,074c0012020002
71538,71539,27-11-2022 02:30:13:425,-,CA:00:44:9E:06:4B,-87,074c0012020002
71655,71656,27-11-2022 02:30:15:463,-,CA:00:44:9E:06:4B,-95,074c0012020002
72197,72198,27-11-2022 02:30:25:373,-,CA:00:44:9E:06:4B,-86,074c0012020002
72925,72926,27-11-2022 02:30:39:378,-,CA:00:44:9E:06:4B,-94,074c0012020002
73034,73035,27-11-2022 02:30:41:436,-,CA:00:44:9E:06:4B,-94,074c0012020002
74123,74124,27-11-2022 02:31:01:425,-,CA:00:44:9E:06:4B,-85,074c0012020002
74373,74374,27-11-2022 02:31:05:471,-,CA:00:44:9E:06:4B,-85,074c0012020002
74500,74501,27-11-2022 02:31:07:410,-,CA:00:44:9E:06:4B,-85,074c0012020002
76251,76252,27-11-2022 02:31:37:494,-,CA:00:44:9E:06:4B,-85,074c0012020002
76958,76959,27-11-2022 02:31:49:462,-,CA:00:44:9E:06:4B,-92,074c0012020002
77200,77201,27-11-2022 02:31:53:514,-,CA:00:44:9E:06:4B,-86,074c0012020002
77314,77315,27-11-2022 02:31:55:468,-,CA:00:44:9E:06:4B,-87,074c0012020002
78152,78153,27-11-2022 02:32:11:410,-,CA:00:44:9E:06:4B,-89,074c0012020002
78761,78762,27-11-2022 02:32:21:429,-,CA:00:44:9E:06:4B,-87,074c0012020002
78877,78878,27-11-2022 02:32:23:476,-,CA:00:44:9E:06:4B,-86,074c0012020002
79302,79303,27-11-2022 02:32:31:491,-,CA:00:44:9E:06:4B,-93,074c0012020002
79477,79478,27-11-2022 02:32:35:458,-,CA:00:44:9E:06:4B,-87,074c0012020002
79979,79980,27-11-2022 02:32:43:511,-,CA:00:44:9E:06:4B,-87,074c0012020002
80077,80078,27-11-2022 02:32:45:454,-,CA:00:44:9E:06:4B,-92,074c0012020002
80202,80203,27-11-2022 02:32:47:531,-,CA:00:44:9E:06:4B,-86,074c0012020002
80801,80802,27-11-2022 02:32:57:433,-,CA:00:44:9E:06:4B,-86,074c0012020002
81288,81289,27-11-2022 02:33:05:471,-,CA:00:44:9E:06:4B,-86,074c0012020002
81882,81883,27-11-2022 02:33:15:461,-,CA:00:44:9E:06:4B,-86,074c0012020002
82997,82998,27-11-2022 02:33:35:396,-,CA:00:44:9E:06:4B,-89,074c0012020002
83611,83612,27-11-2022 02:33:45:564,-,CA:00:44:9E:06:4B,-84,074c0012020002
84088,84089,27-11-2022 02:33:53:496,-,CA:00:44:9E:06:4B,-85,074c0012020002
84216,84217,27-11-2022 02:33:55:491,-,CA:00:44:9E:06:4B,-85,074c0012020002
84472,84473,27-11-2022 02:33:59:499,-,CA:00:44:9E:06:4B,-93,074c0012020002
84718,84719,27-11-2022 02:34:03:453,-,CA:00:44:9E:06:4B,-88,074c0012020002
85334,85335,27-11-2022 02:34:13:523,-,CA:00:44:9E:06:4B,-86,074c0012020002
85784,85785,27-11-2022 02:34:21:503,-,CA:00:44:9E:06:4B,-85,074c0012020002
86032,86033,27-11-2022 02:34:25:443,-,CA:00:44:9E:06:4B,-88,074c0012020002
86273,86274,27-11-2022 02:34:29:473,-,CA:00:44:9E:06:4B,-91,074c0012020002
86570,86571,27-11-2022 02:34:35:463,-,CA:00:44:9E:06:4B,-86,074c0012020002
86654,86655,27-11-2022 02:34:37:482,-,CA:00:44:9E:06:4B,-90,074c0012020002
86875,86876,27-11-2022 02:34:41:467,-,CA:00:44:9E:06:4B,-90,074c0012020002
87210,87211,27-11-2022 02:34:47:461,-,CA:00:44:9E:06:4B,-86,074c0012020002
87651,87652,27-11-2022 02:34:55:550,-,CA:00:44:9E:06:4B,-85,074c0012020002
88438,88439,27-11-2022 02:35:09:484,-,CA:00:44:9E:06:4B,-92,074c0012020002
88555,88556,27-11-2022 02:35:11:482,-,CA:00:44:9E:06:4B,-91,074c0012020002
88673,88674,27-11-2022 02:35:13:488,-,CA:00:44:9E:06:4B,-91,074c0012020002
