,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
17723,17724,27-11-2022 02:15:00:946,-,D0:16:F1:8F:E6:4A,-79,074c0012021400
17856,17857,27-11-2022 02:15:02:938,-,D0:16:F1:8F:E6:4A,-78,074c0012021400
18233,18234,27-11-2022 02:15:08:951,-,D0:16:F1:8F:E6:4A,-78,074c0012021400
18345,18346,27-11-2022 02:15:10:953,-,D0:16:F1:8F:E6:4A,-79,074c0012021400
18882,18883,27-11-2022 02:15:20:976,-,D0:16:F1:8F:E6:4A,-78,074c0012021400
19600,19601,27-11-2022 02:15:33:009,-,D0:16:F1:8F:E6:4A,-82,074c0012021400
19715,19716,27-11-2022 02:15:35:005,-,D0:16:F1:8F:E6:4A,-79,074c0012021400
20405,20406,27-11-2022 02:15:47:036,-,D0:16:F1:8F:E6:4A,-82,074c0012021400
20879,20880,27-11-2022 02:15:55:055,-,D0:16:F1:8F:E6:4A,-83,074c0012021400
20992,20993,27-11-2022 02:15:57:059,-,D0:16:F1:8F:E6:4A,-78,074c0012021400
21102,21103,27-11-2022 02:15:59:077,-,D0:16:F1:8F:E6:4A,-79,074c0012021400
21232,21233,27-11-2022 02:16:01:064,-,D0:16:F1:8F:E6:4A,-79,074c0012021400
21380,21381,27-11-2022 02:16:03:085,-,D0:16:F1:8F:E6:4A,-77,074c0012021400
21634,21635,27-11-2022 02:16:07:093,-,D0:16:F1:8F:E6:4A,-82,074c0012021400
21760,21761,27-11-2022 02:16:09:093,-,D0:16:F1:8F:E6:4A,-79,074c0012021400
21872,21873,27-11-2022 02:16:11:098,-,D0:16:F1:8F:E6:4A,-77,074c0012021400
22297,22298,27-11-2022 02:16:19:125,-,D0:16:F1:8F:E6:4A,-77,074c0012021400
22425,22426,27-11-2022 02:16:21:132,-,D0:16:F1:8F:E6:4A,-82,074c0012021400
22544,22545,27-11-2022 02:16:23:147,-,D0:16:F1:8F:E6:4A,-78,074c0012021400
22676,22677,27-11-2022 02:16:25:143,-,D0:16:F1:8F:E6:4A,-82,074c0012021400
22799,22800,27-11-2022 02:16:27:141,-,D0:16:F1:8F:E6:4A,-79,074c0012021400
