,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
28,29,27-11-2022 02:10:04:724,-,EC:A6:93:84:07:23,-42,074c0012020001
245,246,27-11-2022 02:10:08:731,-,EC:A6:93:84:07:23,-35,074c0012020001
350,351,27-11-2022 02:10:10:731,-,EC:A6:93:84:07:23,-39,074c0012020001
598,599,27-11-2022 02:10:14:740,-,EC:A6:93:84:07:23,-50,074c0012020001
723,724,27-11-2022 02:10:16:745,-,EC:A6:93:84:07:23,-60,074c0012020001
856,857,27-11-2022 02:10:18:742,-,EC:A6:93:84:07:23,-74,074c0012020001
1244,1245,27-11-2022 02:10:24:742,-,EC:A6:93:84:07:23,-67,074c0012020001
1382,1383,27-11-2022 02:10:26:777,-,EC:A6:93:84:07:23,-68,074c0012020001
1519,1520,27-11-2022 02:10:28:748,-,EC:A6:93:84:07:23,-80,074c0012020001
1667,1668,27-11-2022 02:10:30:749,-,EC:A6:93:84:07:23,-73,074c0012020001
2045,2046,27-11-2022 02:10:36:753,-,EC:A6:93:84:07:23,-75,074c0012020001
2370,2371,27-11-2022 02:10:42:768,-,EC:A6:93:84:07:23,-86,074c0012020001
2547,2548,27-11-2022 02:10:46:758,-,EC:A6:93:84:07:23,-83,074c0012020001
2664,2665,27-11-2022 02:10:48:761,-,EC:A6:93:84:07:23,-80,074c0012020001
2776,2777,27-11-2022 02:10:50:768,-,EC:A6:93:84:07:23,-76,074c0012020001
2885,2886,27-11-2022 02:10:52:775,-,EC:A6:93:84:07:23,-74,074c0012020001
3013,3014,27-11-2022 02:10:54:790,-,EC:A6:93:84:07:23,-73,074c0012020001
3145,3146,27-11-2022 02:10:56:772,-,EC:A6:93:84:07:23,-74,074c0012020001
3268,3269,27-11-2022 02:10:58:785,-,EC:A6:93:84:07:23,-72,074c0012020001
3376,3377,27-11-2022 02:11:00:779,-,EC:A6:93:84:07:23,-72,074c0012020001
3610,3611,27-11-2022 02:11:04:777,-,EC:A6:93:84:07:23,-77,074c0012020001
3730,3731,27-11-2022 02:11:06:782,-,EC:A6:93:84:07:23,-90,074c0012020001
3901,3902,27-11-2022 02:11:10:784,-,EC:A6:93:84:07:23,-81,074c0012020001
4011,4012,27-11-2022 02:11:12:793,-,EC:A6:93:84:07:23,-79,074c0012020001
4135,4136,27-11-2022 02:11:14:789,-,EC:A6:93:84:07:23,-81,074c0012020001
4650,4651,27-11-2022 02:11:22:789,-,EC:A6:93:84:07:23,-88,074c0012020001
4770,4771,27-11-2022 02:11:24:817,-,EC:A6:93:84:07:23,-81,074c0012020001
4910,4911,27-11-2022 02:11:26:813,-,EC:A6:93:84:07:23,-87,074c0012020001
5044,5045,27-11-2022 02:11:28:798,-,EC:A6:93:84:07:23,-61,074c0012020001
5336,5337,27-11-2022 02:11:32:805,-,EC:A6:93:84:07:23,-67,074c0012020001
5442,5443,27-11-2022 02:11:34:827,-,EC:A6:93:84:07:23,-52,074c0012020001
5713,5714,27-11-2022 02:11:38:806,-,EC:A6:93:84:07:23,-72,074c0012020001
