,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
28315,28316,27-11-2022 02:18:02:295,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28381,28382,27-11-2022 02:18:03:357,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28454,28455,27-11-2022 02:18:04:470,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28523,28524,27-11-2022 02:18:05:580,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
28549,28550,27-11-2022 02:18:06:113,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28582,28583,27-11-2022 02:18:06:661,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28601,28602,27-11-2022 02:18:06:954,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28618,28619,27-11-2022 02:18:07:299,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28679,28680,27-11-2022 02:18:08:040,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28717,28718,27-11-2022 02:18:08:601,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28777,28778,27-11-2022 02:18:09:419,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28836,28837,27-11-2022 02:18:10:292,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
28851,28852,27-11-2022 02:18:10:520,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
28928,28929,27-11-2022 02:18:11:631,-,56:DE:35:4F:5B:9E,-80,0c4c0010073e1f011d460718
29113,29114,27-11-2022 02:18:14:639,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
29268,29269,27-11-2022 02:18:18:498,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
29320,29321,27-11-2022 02:18:19:610,-,56:DE:35:4F:5B:9E,-84,0c4c0010073e1f011d460718
29401,29402,27-11-2022 02:18:20:968,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
29459,29460,27-11-2022 02:18:21:796,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
29475,29476,27-11-2022 02:18:22:072,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
29576,29577,27-11-2022 02:18:23:733,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
29592,29593,27-11-2022 02:18:24:004,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
29652,29653,27-11-2022 02:18:25:099,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
29759,29760,27-11-2022 02:18:27:031,-,56:DE:35:4F:5B:9E,-84,0c4c0010073e1f011d460718
29781,29782,27-11-2022 02:18:27:293,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
29847,29848,27-11-2022 02:18:28:400,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
29989,29990,27-11-2022 02:18:30:886,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
30019,30020,27-11-2022 02:18:31:450,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
30073,30074,27-11-2022 02:18:32:543,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
30114,30115,27-11-2022 02:18:33:367,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
30134,30135,27-11-2022 02:18:33:654,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
30154,30155,27-11-2022 02:18:33:930,-,56:DE:35:4F:5B:9E,-82,0c4c0010073e1f011d460718
30235,30236,27-11-2022 02:18:35:032,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
30302,30303,27-11-2022 02:18:36:124,-,56:DE:35:4F:5B:9E,-83,0c4c0010073e1f011d460718
