,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
77,78,27-11-2022 02:10:05:488,-,F1:97:41:8D:1F:81,-78,074c0012020000
198,199,27-11-2022 02:10:07:512,-,F1:97:41:8D:1F:81,-83,074c0012020000
279,280,27-11-2022 02:10:09:501,-,F1:97:41:8D:1F:81,-78,074c0012020000
393,394,27-11-2022 02:10:11:505,-,F1:97:41:8D:1F:81,-73,074c0012020000
513,514,27-11-2022 02:10:13:512,-,F1:97:41:8D:1F:81,-72,074c0012020000
777,778,27-11-2022 02:10:17:516,-,F1:97:41:8D:1F:81,-74,074c0012020000
1042,1043,27-11-2022 02:10:21:551,-,F1:97:41:8D:1F:81,-73,074c0012020000
1179,1180,27-11-2022 02:10:23:529,-,F1:97:41:8D:1F:81,-75,074c0012020000
1297,1298,27-11-2022 02:10:25:537,-,F1:97:41:8D:1F:81,-78,074c0012020000
1440,1441,27-11-2022 02:10:27:553,-,F1:97:41:8D:1F:81,-74,074c0012020000
1581,1582,27-11-2022 02:10:29:568,-,F1:97:41:8D:1F:81,-72,074c0012020000
2085,2086,27-11-2022 02:10:37:581,-,F1:97:41:8D:1F:81,-73,074c0012020000
2162,2163,27-11-2022 02:10:39:573,-,F1:97:41:8D:1F:81,-72,074c0012020000
2423,2424,27-11-2022 02:10:43:589,-,F1:97:41:8D:1F:81,-72,074c0012020000
2505,2506,27-11-2022 02:10:45:590,-,F1:97:41:8D:1F:81,-75,074c0012020000
2719,2720,27-11-2022 02:10:49:591,-,F1:97:41:8D:1F:81,-74,074c0012020000
2827,2828,27-11-2022 02:10:51:595,-,F1:97:41:8D:1F:81,-74,074c0012020000
3324,3325,27-11-2022 02:10:59:609,-,F1:97:41:8D:1F:81,-75,074c0012020000
3427,3428,27-11-2022 02:11:01:620,-,F1:97:41:8D:1F:81,-77,074c0012020000
3656,3657,27-11-2022 02:11:05:646,-,F1:97:41:8D:1F:81,-72,074c0012020000
3861,3862,27-11-2022 02:11:09:651,-,F1:97:41:8D:1F:81,-75,074c0012020000
4069,4070,27-11-2022 02:11:13:666,-,F1:97:41:8D:1F:81,-76,074c0012020000
4187,4188,27-11-2022 02:11:15:669,-,F1:97:41:8D:1F:81,-79,074c0012020000
4333,4334,27-11-2022 02:11:17:681,-,F1:97:41:8D:1F:81,-74,074c0012020000
4464,4465,27-11-2022 02:11:19:680,-,F1:97:41:8D:1F:81,-75,074c0012020000
