,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
50727,50728,27-11-2022 02:24:15:579,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
50741,50742,27-11-2022 02:24:15:847,-,64:E5:C8:E2:8D:7D,-73,0b4c001006011d2ed37958
50788,50789,27-11-2022 02:24:16:664,-,64:E5:C8:E2:8D:7D,-73,0b4c001006011d2ed37958
50864,50865,27-11-2022 02:24:18:057,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
50971,50972,27-11-2022 02:24:19:687,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51036,51037,27-11-2022 02:24:20:791,-,64:E5:C8:E2:8D:7D,-73,0b4c001006011d2ed37958
51062,51063,27-11-2022 02:24:21:372,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51308,51309,27-11-2022 02:24:26:429,-,64:E5:C8:E2:8D:7D,-73,0b4c001006011d2ed37958
51322,51323,27-11-2022 02:24:26:558,-,64:E5:C8:E2:8D:7D,-76,0b4c001006011d2ed37958
51360,51361,27-11-2022 02:24:27:095,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51395,51396,27-11-2022 02:24:27:677,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51431,51432,27-11-2022 02:24:28:366,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51484,51485,27-11-2022 02:24:29:051,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51499,51500,27-11-2022 02:24:29:351,-,64:E5:C8:E2:8D:7D,-76,0b4c001006011d2ed37958
51552,51553,27-11-2022 02:24:30:144,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51583,51584,27-11-2022 02:24:30:703,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51625,51626,27-11-2022 02:24:31:409,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51699,51700,27-11-2022 02:24:32:382,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51711,51712,27-11-2022 02:24:32:609,-,64:E5:C8:E2:8D:7D,-73,0b4c001006011d2ed37958
51741,51742,27-11-2022 02:24:33:156,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51763,51764,27-11-2022 02:24:33:423,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51811,51812,27-11-2022 02:24:34:350,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51881,51882,27-11-2022 02:24:35:623,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
51900,51901,27-11-2022 02:24:35:895,-,64:E5:C8:E2:8D:7D,-73,0b4c001006011d2ed37958
51998,51999,27-11-2022 02:24:37:537,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
52018,52019,27-11-2022 02:24:37:812,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
52075,52076,27-11-2022 02:24:38:915,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
52092,52093,27-11-2022 02:24:39:186,-,64:E5:C8:E2:8D:7D,-74,0b4c001006011d2ed37958
52112,52113,27-11-2022 02:24:39:455,-,64:E5:C8:E2:8D:7D,-73,0b4c001006011d2ed37958
52160,52161,27-11-2022 02:24:40:022,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
52184,52185,27-11-2022 02:24:40:424,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
52197,52198,27-11-2022 02:24:40:568,-,64:E5:C8:E2:8D:7D,-73,0b4c001006011d2ed37958
52229,52230,27-11-2022 02:24:41:382,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
52246,52247,27-11-2022 02:24:41:931,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
52300,52301,27-11-2022 02:24:43:043,-,64:E5:C8:E2:8D:7D,-75,0b4c001006011d2ed37958
