,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
39,40,27-11-2022 02:10:04:991,-,7D:C5:4A:4B:BB:FE,-40,0b4c001006041e8dd974e0
60,61,27-11-2022 02:10:05:261,-,7D:C5:4A:4B:BB:FE,-39,0b4c001006041e8dd974e0
80,81,27-11-2022 02:10:05:536,-,7D:C5:4A:4B:BB:FE,-39,0b4c001006041e8dd974e0
116,117,27-11-2022 02:10:06:083,-,7D:C5:4A:4B:BB:FE,-39,0b4c001006041e8dd974e0
169,170,27-11-2022 02:10:06:902,-,7D:C5:4A:4B:BB:FE,-35,0b4c001006041e8dd974e0
183,184,27-11-2022 02:10:07:175,-,7D:C5:4A:4B:BB:FE,-34,0b4c001006041e8dd974e0
237,238,27-11-2022 02:10:08:534,-,7D:C5:4A:4B:BB:FE,-34,0b4c001006041e8dd974e0
312,313,27-11-2022 02:10:10:175,-,7D:C5:4A:4B:BB:FE,-33,0b4c001006041e8dd974e0
362,363,27-11-2022 02:10:10:973,-,7D:C5:4A:4B:BB:FE,-38,0b4c001006041e8dd974e0
394,395,27-11-2022 02:10:11:516,-,7D:C5:4A:4B:BB:FE,-60,0b4c001006041e8dd974e0
411,412,27-11-2022 02:10:11:806,-,7D:C5:4A:4B:BB:FE,-55,0b4c001006041e8dd974e0
474,475,27-11-2022 02:10:12:878,-,7D:C5:4A:4B:BB:FE,-60,0b4c001006041e8dd974e0
488,489,27-11-2022 02:10:13:152,-,7D:C5:4A:4B:BB:FE,-60,0b4c001006041e8dd974e0
614,615,27-11-2022 02:10:15:066,-,7D:C5:4A:4B:BB:FE,-50,0b4c001006041e8dd974e0
638,639,27-11-2022 02:10:15:331,-,7D:C5:4A:4B:BB:FE,-55,0b4c001006041e8dd974e0
674,675,27-11-2022 02:10:15:872,-,7D:C5:4A:4B:BB:FE,-55,0b4c001006041e8dd974e0
738,739,27-11-2022 02:10:16:965,-,7D:C5:4A:4B:BB:FE,-58,0b4c001006041e8dd974e0
755,756,27-11-2022 02:10:17:235,-,7D:C5:4A:4B:BB:FE,-59,0b4c001006041e8dd974e0
848,849,27-11-2022 02:10:18:596,-,7D:C5:4A:4B:BB:FE,-65,0b4c001006041e8dd974e0
866,867,27-11-2022 02:10:18:864,-,7D:C5:4A:4B:BB:FE,-63,0b4c001006041e8dd974e0
882,883,27-11-2022 02:10:19:145,-,7D:C5:4A:4B:BB:FE,-56,0b4c001006041e8dd974e0
906,907,27-11-2022 02:10:19:409,-,7D:C5:4A:4B:BB:FE,-56,0b4c001006041e8dd974e0
970,971,27-11-2022 02:10:20:504,-,7D:C5:4A:4B:BB:FE,-64,0b4c001006041e8dd974e0
1028,1029,27-11-2022 02:10:21:317,-,7D:C5:4A:4B:BB:FE,-64,0b4c001006041e8dd974e0
1045,1046,27-11-2022 02:10:21:576,-,7D:C5:4A:4B:BB:FE,-59,0b4c001006041e8dd974e0
1065,1066,27-11-2022 02:10:21:861,-,7D:C5:4A:4B:BB:FE,-61,0b4c001006041e8dd974e0
1116,1117,27-11-2022 02:10:22:673,-,7D:C5:4A:4B:BB:FE,-63,0b4c001006041e8dd974e0
1136,1137,27-11-2022 02:10:22:956,-,7D:C5:4A:4B:BB:FE,-66,0b4c001006041e8dd974e0
1236,1237,27-11-2022 02:10:24:588,-,7D:C5:4A:4B:BB:FE,-76,0b4c001006041e8dd974e0
