,Sr No,Timestamp,Device Name,MAC_Address,RSSI,Raw Data
418,419,27-11-2022 02:10:11:923,-,E7:5E:83:89:F9:11,-82,074c0012020000
934,935,27-11-2022 02:10:19:950,-,E7:5E:83:89:F9:11,-83,074c0012020000
1740,1741,27-11-2022 02:10:31:982,-,E7:5E:83:89:F9:11,-81,074c0012020000
1859,1860,27-11-2022 02:10:33:983,-,E7:5E:83:89:F9:11,-82,074c0012020000
1989,1990,27-11-2022 02:10:35:995,-,E7:5E:83:89:F9:11,-82,074c0012020000
2103,2104,27-11-2022 02:10:38:000,-,E7:5E:83:89:F9:11,-82,074c0012020000
2188,2189,27-11-2022 02:10:39:994,-,E7:5E:83:89:F9:11,-82,074c0012020000
2325,2326,27-11-2022 02:10:42:013,-,E7:5E:83:89:F9:11,-82,074c0012020000
2442,2443,27-11-2022 02:10:44:003,-,E7:5E:83:89:F9:11,-82,074c0012020000
2960,2961,27-11-2022 02:10:54:045,-,E7:5E:83:89:F9:11,-81,074c0012020000
3108,3109,27-11-2022 02:10:56:043,-,E7:5E:83:89:F9:11,-86,074c0012020000
3451,3452,27-11-2022 02:11:02:068,-,E7:5E:83:89:F9:11,-81,074c0012020000
3562,3563,27-11-2022 02:11:04:067,-,E7:5E:83:89:F9:11,-82,074c0012020000
3805,3806,27-11-2022 02:11:08:082,-,E7:5E:83:89:F9:11,-81,074c0012020000
4367,4368,27-11-2022 02:11:18:109,-,E7:5E:83:89:F9:11,-81,074c0012020000
4489,4490,27-11-2022 02:11:20:104,-,E7:5E:83:89:F9:11,-82,074c0012020000
4860,4861,27-11-2022 02:11:26:126,-,E7:5E:83:89:F9:11,-83,074c0012020000
5287,5288,27-11-2022 02:11:32:147,-,E7:5E:83:89:F9:11,-81,074c0012020000
5401,5402,27-11-2022 02:11:34:128,-,E7:5E:83:89:F9:11,-82,074c0012020000
5522,5523,27-11-2022 02:11:36:136,-,E7:5E:83:89:F9:11,-81,074c0012020000
5924,5925,27-11-2022 02:11:42:150,-,E7:5E:83:89:F9:11,-81,074c0012020000
6193,6194,27-11-2022 02:11:46:165,-,E7:5E:83:89:F9:11,-87,074c0012020000
6328,6329,27-11-2022 02:11:48:172,-,E7:5E:83:89:F9:11,-82,074c0012020000
6604,6605,27-11-2022 02:11:52:180,-,E7:5E:83:89:F9:11,-82,074c0012020000
6858,6859,27-11-2022 02:11:56:239,-,E7:5E:83:89:F9:11,-82,074c0012020000
6991,6992,27-11-2022 02:11:58:269,-,E7:5E:83:89:F9:11,-82,074c0012020000
7125,7126,27-11-2022 02:12:00:237,-,E7:5E:83:89:F9:11,-80,074c0012020000
7396,7397,27-11-2022 02:12:04:225,-,E7:5E:83:89:F9:11,-81,074c0012020000
7501,7502,27-11-2022 02:12:06:237,-,E7:5E:83:89:F9:11,-82,074c0012020000
7630,7631,27-11-2022 02:12:08:258,-,E7:5E:83:89:F9:11,-82,074c0012020000
7705,7706,27-11-2022 02:12:10:236,-,E7:5E:83:89:F9:11,-83,074c0012020000
8224,8225,27-11-2022 02:12:20:259,-,E7:5E:83:89:F9:11,-81,074c0012020000
8318,8319,27-11-2022 02:12:22:275,-,E7:5E:83:89:F9:11,-82,074c0012020000
8399,8400,27-11-2022 02:12:24:261,-,E7:5E:83:89:F9:11,-83,074c0012020000
8641,8642,27-11-2022 02:12:28:264,-,E7:5E:83:89:F9:11,-81,074c0012020000
8780,8781,27-11-2022 02:12:30:273,-,E7:5E:83:89:F9:11,-81,074c0012020000
8914,8915,27-11-2022 02:12:32:285,-,E7:5E:83:89:F9:11,-81,074c0012020000
9027,9028,27-11-2022 02:12:34:278,-,E7:5E:83:89:F9:11,-82,074c0012020000
9133,9134,27-11-2022 02:12:36:272,-,E7:5E:83:89:F9:11,-83,074c0012020000
9523,9524,27-11-2022 02:12:42:303,-,E7:5E:83:89:F9:11,-81,074c0012020000
9643,9644,27-11-2022 02:12:44:298,-,E7:5E:83:89:F9:11,-82,074c0012020000
10011,10012,27-11-2022 02:12:50:326,-,E7:5E:83:89:F9:11,-81,074c0012020000
10156,10157,27-11-2022 02:12:52:322,-,E7:5E:83:89:F9:11,-82,074c0012020000
11160,11161,27-11-2022 02:13:08:377,-,E7:5E:83:89:F9:11,-81,074c0012020000
11270,11271,27-11-2022 02:13:10:392,-,E7:5E:83:89:F9:11,-81,074c0012020000
11365,11366,27-11-2022 02:13:12:399,-,E7:5E:83:89:F9:11,-82,074c0012020000
11735,11736,27-11-2022 02:13:18:408,-,E7:5E:83:89:F9:11,-81,074c0012020000
11847,11848,27-11-2022 02:13:20:419,-,E7:5E:83:89:F9:11,-83,074c0012020000
11969,11970,27-11-2022 02:13:22:411,-,E7:5E:83:89:F9:11,-83,074c0012020000
12209,12210,27-11-2022 02:13:26:411,-,E7:5E:83:89:F9:11,-82,074c0012020000
12315,12316,27-11-2022 02:13:28:440,-,E7:5E:83:89:F9:11,-80,074c0012020000
12448,12449,27-11-2022 02:13:30:434,-,E7:5E:83:89:F9:11,-81,074c0012020000
12569,12570,27-11-2022 02:13:32:428,-,E7:5E:83:89:F9:11,-82,074c0012020000
12679,12680,27-11-2022 02:13:34:422,-,E7:5E:83:89:F9:11,-82,074c0012020000
13171,13172,27-11-2022 02:13:42:459,-,E7:5E:83:89:F9:11,-82,074c0012020000
13412,13413,27-11-2022 02:13:46:478,-,E7:5E:83:89:F9:11,-81,074c0012020000
13538,13539,27-11-2022 02:13:48:473,-,E7:5E:83:89:F9:11,-82,074c0012020000
13843,13844,27-11-2022 02:13:54:490,-,E7:5E:83:89:F9:11,-82,074c0012020000
14078,14079,27-11-2022 02:13:58:501,-,E7:5E:83:89:F9:11,-82,074c0012020000
14404,14405,27-11-2022 02:14:04:543,-,E7:5E:83:89:F9:11,-81,074c0012020000
14540,14541,27-11-2022 02:14:06:536,-,E7:5E:83:89:F9:11,-82,074c0012020000
14775,14776,27-11-2022 02:14:10:549,-,E7:5E:83:89:F9:11,-82,074c0012020000
15153,15154,27-11-2022 02:14:18:601,-,E7:5E:83:89:F9:11,-81,074c0012020000
15399,15400,27-11-2022 02:14:22:579,-,E7:5E:83:89:F9:11,-83,074c0012020000
