,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__maximum,0__minimum
0,37.824,0.547,0.771918367,49,0.600701557,0.360842361,2.612,0.092
0,118.072,1.4055,1.639888889,72,1.471251579,2.16458121,9.047,0.188
0,121.815,1.4445,1.964758065,62,1.713542206,2.936226893,7.372,0.198
0,117.549,1.036,1.754462687,67,2.1435138,4.594651413,10.421,0.167
0,121.617,1.25,1.871030769,65,1.876765277,3.522247907,9.405,0.183
0,119.109,1.658,2.335470588,51,1.897194703,3.599347739,8.01,0.207
0,121.314,1.4045,2.527375,48,4.324903745,18.7047924,26.326,0.189
0,115.393,1.6495,2.404020833,48,2.261758235,5.115550312,11.279,0.077
0,123.167,1.689,2.32390566,53,2.159584833,4.663806651,10.438,0.201
0,121.376,1.538,2.247703704,54,2.367245724,5.60385232,10.937,0.054
0,119.262,1.232,2.021389831,59,2.450653977,6.005704916,15.969,0.04
0,119.261,1.641,2.168381818,55,2.125914507,4.519512491,13.762,0.113
0,121.547,1.008,1.429964706,85,1.396764989,1.950952434,6.961,0.092
0,116.518,1.03,1.574567568,74,1.604671652,2.57497111,9.391,0.145
0,123.174,1.646,2.281,54,2.251906682,5.071083704,12.087,0.137
0,106.993,1.0165,1.573426471,68,1.514303502,2.293115098,7.143,0.093
0,108.262,34.066,36.08733333,3,28.69709568,823.5233002,72.201,1.995
0,118.301,4.017,4.381518519,27,1.893448576,3.585147509,8.014,1.978
0,120.264,2.022,3.879483871,31,2.591532376,6.716040056,12.04,1.984
0,58.151,2.01,3.420647059,17,2.042409763,4.17143764,8.051,1.992
0,119.208,0.193,0.292894349,407,0.175402622,0.03076608,1.267,0.038
0,120.31,0.192,0.28044289,429,0.175101794,0.030660638,1.273,0.03
0,120.226,0.1935,0.297589109,404,0.195540782,0.038236198,1.458,0.029
0,120.13,0.194,0.283995272,423,0.175530523,0.030810965,1.454,0.019
0,119.949,0.1965,0.28695933,418,0.178412352,0.031830967,1.284,0.014
0,120.138,0.196,0.277454965,433,0.174637529,0.030498266,1.813,0.016
0,119.843,0.2015,0.289475845,414,0.177796437,0.031611573,1.119,0.012
0,120.153,0.2325,0.29888806,402,0.194400852,0.037791691,1.646,0.013
0,119.939,0.21,0.299099751,401,0.203773688,0.041523716,1.834,0.015
0,120.005,0.207,0.291982968,411,0.17383974,0.030220255,1.275,0.011
0,119.843,0.197,0.301113065,398,0.20842284,0.04344008,1.719,0.012
0,119.968,0.222,0.306040816,392,0.191226555,0.036567595,1.571,0.011
0,120.18,0.212,0.32393531,371,0.229998409,0.052899268,1.86,0.013
0,119.973,0.204,0.311618182,385,0.211399252,0.044689644,1.093,0.012
0,110.597,0.202,0.297303763,372,0.188686366,0.035602545,1.096,0.012
0,118.285,4.011,4.7314,25,3.151338078,9.93093168,16.039,1.992
0,120.304,4.006,5.230608696,23,4.45557138,19.85211633,20.048,1.975
0,54.199,3.036,4.516583333,12,3.282698774,10.77611124,12.029,1.989
0,119.53,0.287,0.441070111,271,0.244601368,0.059829829,1.626,0.249
0,120.097,0.302,0.498327801,241,0.296138012,0.087697722,1.965,0.194
0,120.371,0.355,0.52108658,231,0.318371929,0.101360685,2.278,0.186
0,119.692,0.304,0.505029536,237,0.34111357,0.116358467,3.033,0.154
0,120.298,0.334,0.487036437,247,0.311816973,0.097229825,2.506,0.119
0,71.61,0.321,0.468039216,153,0.273819555,0.074977149,1.638,0.139
0,119.069,0.773,0.984041322,121,0.845843346,0.715450965,4.393,0.07
0,118.673,0.873,1.069126126,111,0.972043127,0.94486784,4.957,0.061
0,77.403,0.808,1.228619048,63,1.14528461,1.311676839,4.618,0.125
0,112.89,9.49,22.578,5,33.32825275,1110.772431,88.475,0.279
0,72.173,23.001,24.05766667,3,15.54691329,241.7065129,43.605,5.567
0,119.822,0.5145,0.730621951,164,0.715141205,0.511426942,4.394,0.196
0,119.749,0.515,0.725751515,165,0.732715062,0.536871362,6.726,0.238
0,120.25,0.509,0.653532609,184,0.594197531,0.353070705,5.158,0.191
0,119.89,0.519,0.722228916,166,0.59399812,0.352833767,3.347,0.174
0,17.568,0.507,0.650666667,27,0.826979914,0.683895778,4.651,0.164
0,118.638,0.739,0.972442623,122,0.890535969,0.793054312,4.324,0.03
0,94.127,1.099,1.404880597,67,1.226880117,1.505234822,7.908,0.267
