,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__maximum,0__minimum
0,116.441,13.695,11.6441,10,3.137829073,9.84597129,13.71,6.847
0,123.326,6.854,8.221733333,15,2.742515791,7.521392862,13.73,6.831
0,109.601,6.851,9.963727273,11,4.492299393,20.18075383,20.549,6.834
0,130.296,6.867,10.02276923,13,5.110231504,26.11446602,20.561,6.837
0,109.742,6.863,9.145166667,12,4.276103383,18.28506014,20.559,6.841
0,130.219,6.86,10.01684615,13,4.345018949,18.87918967,20.548,6.85
0,109.627,6.858,8.432846154,13,2.88750933,8.33771013,13.711,6.839
0,130.216,6.855,8.681066667,15,3.937418993,15.50326833,20.569,6.81
0,116.506,6.8535,8.321857143,14,2.815623373,7.92773498,13.716,6.833
0,123.361,6.8535,7.7100625,16,3.319910418,11.02180518,20.568,6.841
0,116.513,6.866,11.6513,10,6.884960088,47.40267541,27.407,6.83
0,116.516,6.8665,9.709666667,12,3.376688425,11.40202472,13.721,6.84
0,102.808,6.861,9.346181818,11,4.403767165,19.39316524,20.558,6.84
