,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__root_mean_square,0__maximum,0__minimum
0,1535.172,6.859,9.304072727,165,4.19793299,17.62264139,10.20727244,27.407,6.81
0,2697.902,6.8585,10.37654615,260,5.422892293,29.40776082,11.70813695,34.239,6.805
