,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__root_mean_square,0__maximum,0__minimum
0,2485.527,8.003,15.534543750000001,160.0,13.771416415372311,189.65191008558594,20.759912321738017,81.769,7.884
1,3847.444,6.615,8.645941573033708,445.0,16.177261056525243,261.7037752909682,18.34273918953439,344.304,6.409
2,4128.506,3.452,4.09574007936508,1008.0,1.7084043718971964,2.918645497917454,4.437762081909633,17.271,3.409
3,3903.787,3.526,6.410159277504105,609.0,4.236201555439594,17.945403618308838,7.683459219731747,20.862,3.466
4,2414.063,6.898,8.353159169550173,289.0,4.0621524561174684,16.50108257674118,9.288506375547218,41.376,6.817
5,4645.034,7.036,8.07832,575.0,2.73658650626938,7.488905706295652,8.529253175319376,21.157,6.983
6,2264.0240000000003,1.3645,4.510007968127491,502.0,5.579056601405787,31.125872561689494,7.173983860747315,19.368,0.62
7,2334.127,0.781,6.785252906976744,344.0,10.154497899458537,103.11382759010783,12.212840971770008,38.503,0.631
8,2968.281,3.479,6.17106237006237,481.0,3.8070996638622203,14.49400785057983,7.250932259080871,23.957,3.352
9,3036.794,3.535,10.122646666666666,300.0,33.67322885946374,1133.8863418218216,35.16183040400485,574.199,3.39
10,1534.4619999999998,6.889,14.897689320388347,103.0,22.489774092649967,505.78993873842956,26.97649135497874,89.071,3.418
11,4405.1720000000005,6.9465,12.443988700564972,354.0,7.6576706880815895,58.63992036710396,14.611391964727133,55.356,6.8
