,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__root_mean_square,0__maximum,0__minimum,raw_label,Label
0,116.416,6.849,7.276,16.0,1.658176521061615,2.7495493750000004,7.462554882545254,13.698,6.824,High,High
0,123.22500000000001,6.848,8.801785714285716,14.0,4.031775950028038,16.25521731122449,9.681252453656427,20.536,6.836,High,High
0,116.392,6.8485,7.2745,16.0,1.6546918897486624,2.7380052499999996,7.460318726435219,13.683,6.831,High,High
0,122.022,6.844,9.386307692307692,13.0,5.431415687172536,29.500276366863908,10.844493923717163,26.172,6.84,High,High
0,116.387,6.8485,7.2741875,16.0,1.657344495674858,2.7467907773437497,7.460602828357772,13.693,6.831,High,High
0,107.05899999999998,10.256499999999999,13.382374999999998,8.0,11.316476593196974,128.062642484375,17.525712628164367,33.585,0.666,High,High
0,119.418,24.182,39.806000000000004,3.0,26.707432573474122,713.2869546666666,47.93542104401156,77.398,17.838,High,High
0,131.819,8.786000000000001,13.181899999999999,10.0,15.058713141898945,226.76484148999998,20.013178885424473,41.405,0.64,High,High
0,102.106,8.448,8.508833333333333,12.0,7.237162678763611,52.37652363888889,11.170352202743356,26.046,0.655,High,High
0,132.356,9.4195,9.453999999999999,14.0,7.725461502626974,59.68275542857142,12.209048751994212,21.753,0.567,High,High
0,117.3,13.021,16.757142857142856,7.0,11.235145639955915,126.22849755102041,20.1749927951837,36.555,0.648,High,High
0,215.81199999999998,36.664500000000004,53.952999999999996,4.0,56.39128284141087,3179.9767804999997,78.0442373881634,141.774,0.709,High,High
0,101.27,9.635,10.126999999999999,10.0,9.491724058357365,90.09282560000001,13.879803838671496,35.005,0.685,High,High
0,131.688,11.4895,13.1688,10.0,13.347193014263336,178.14756136,18.750062794561515,41.224,0.622,High,High
0,131.264,18.418,21.877333333333336,6.0,9.357933793786366,87.57092488888888,23.794718713753827,42.305,14.333,High,High
0,117.769,16.146,16.824142857142856,7.0,9.713343008880273,94.34903240816327,19.426806615749133,35.682,0.674,High,High
0,120.02199999999999,17.266,20.003666666666664,6.0,14.391324315557465,207.11021555555556,24.64258297473434,41.167,0.693,High,High
0,112.805,11.413,12.533888888888889,9.0,6.206210052026642,38.51704320987654,13.986258037405461,22.573,0.682,High,High
0,90.769,28.739,30.256333333333334,3.0,3.398168755210501,11.547550888888885,30.446563971434717,34.964,27.066,High,High
0,119.641,3.4210000000000003,4.601576923076923,26.0,2.8366861241878283,8.046788167159763,5.405672793108536,13.693,3.388,High,High
0,88.424,3.432,11.053,8.0,9.960532289993342,99.2122035,14.878878065902684,27.148,3.411,High,High
0,137.921,3.415,27.5842,5.0,39.6837282038873,1574.79828416,48.32893929934735,105.627,3.411,High,High
0,85.536,3.424,8.5536,10.0,9.732527638799697,94.72209424000002,12.95708945712732,32.404,3.389,High,High
0,82.00699999999999,3.418,4.823941176470588,17.0,2.639319107171577,6.96600534948097,5.498764754336142,13.663,3.389,High,High
0,109.34100000000002,3.425,4.7539565217391315,23.0,1.9471724534121349,3.791480563327032,5.137273904894798,10.237,3.382,High,High
0,107.551,3.4245,5.975055555555556,18.0,4.335977788896349,18.800703385802468,7.382546462960987,18.72,3.394,High,High
0,140.745,5.1225000000000005,17.593125,8.0,25.054446922839368,627.725310609375,30.614430549579065,81.592,3.414,High,High
0,117.01100000000001,3.4265,7.313187500000001,16.0,5.720330434279452,32.722180277343746,9.284658942982237,18.782,3.399,High,High
0,121.94400000000002,3.439,9.380307692307694,13.0,7.117197389039888,50.65449867455621,11.774747176772971,20.97,3.399,High,High
0,86.844,12.864999999999998,14.473999999999998,6.0,10.36088908668878,107.34802266666668,17.800131984529404,27.824,3.407,High,High
0,156.02100000000002,5.123,9.751312500000001,16.0,10.478729519356998,109.80377233984375,14.31404442540612,39.546,3.398,High,High
0,105.80899999999998,10.2405,10.580899999999998,10.0,5.8036576130919375,33.682441690000005,12.068052307642688,20.487,3.403,High,High
0,56.053999999999995,6.824,18.684666666666665,3.0,19.238866846972964,370.1339975555555,26.81885094481119,45.821,3.409,High,High
0,84.55199999999999,3.4165,6.039428571428571,14.0,6.15976658549292,37.942724387755106,8.626553301124549,26.529,3.386,Med,Med
0,173.93900000000002,77.81,57.979666666666674,3.0,39.052243216263804,1525.0777002222221,69.90507454398428,92.704,3.425,Med,Med
0,140.308,39.629999999999995,35.077,4.0,19.909409320720695,396.3845795000001,40.3333671852475,57.645,3.403,Med,Med
0,75.08800000000001,3.412,4.416941176470589,17.0,1.9580781835795986,3.8340701730103803,4.831504892827055,10.272,3.363,Med,Med
0,90.352,3.423,6.023466666666667,15.0,5.460778209091529,29.82009864888889,8.130328980633768,20.981,3.393,Med,Med
0,141.312,14.8155,23.552000000000003,6.0,22.158493036907238,490.99881366666654,32.33721567585352,57.544,3.365,Med,Med
0,87.93100000000001,26.405,29.310333333333336,3.0,22.357996486467407,499.8800068888889,36.864286877681494,58.03,3.496,Med,Med
0,162.40200000000002,13.653500000000001,27.067000000000004,6.0,25.697288910181427,660.3506573333333,37.322555463597794,69.807,3.41,Med,Med
0,116.395,26.5745,29.09875,4.0,21.138660806387428,446.8429806875,35.96637641256066,56.396,6.85,Med,Med
0,109.646,51.982,36.54866666666667,3.0,23.435028388196066,549.2005555555555,43.41665107613284,54.232,3.432,Med,Med
0,69.73499999999999,6.821,13.946999999999997,5.0,11.898959097332842,141.5852276,18.33314039110594,32.394,3.389,Med,Med
0,119.794,11.235,17.11342857142857,7.0,14.706620713689686,216.28469281632653,22.564443939209188,49.733,0.68,Med,Med
