,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__root_mean_square,0__maximum,0__minimum,raw_label,Label
0,54.614,6.8335,9.102333333333332,6.0,5.095932157668071,25.96852455555556,10.431730281533676,20.497,6.778,robotMed,robotMed
0,47.831,6.843,9.5662,5.0,3.3564766884338697,11.265935759999996,10.137954340003708,13.689,6.814,robotMed,robotMed
0,47.858000000000004,6.8315,7.976333333333334,6.0,2.569553182083522,6.602603555555555,8.3800057875875,13.722,6.81,robotMed,robotMed
0,61.645,6.8485,10.274166666666668,6.0,5.261059950766152,27.678751805555553,11.542844211891627,20.648,6.831,robotMed,robotMed
0,53.541,6.821,10.7082,5.0,7.776400848721727,60.472410159999995,13.233969827682092,26.261,6.815,robotMed,robotMed
0,61.51899999999999,6.836,8.78842857142857,7.0,4.795533900177863,22.997145387755104,10.011674292687369,20.535,6.802,robotMed,robotMed
0,53.561,10.241,13.39025,4.0,7.929396016563936,62.875321187500006,15.561944488077318,26.25,6.829,robotHigh,robotHigh
0,61.457,6.828,6.828555555555556,9.0,0.00828802497732067,6.86913580246913e-05,6.8285605852673426,6.841,6.819,robotHigh,robotHigh
0,40.98,6.8315,6.829999999999999,6.0,0.005686240703077533,3.233333333333568e-05,6.830002367007887,6.836,6.818,robotHigh,robotHigh
0,54.486999999999995,6.8115000000000006,6.810874999999999,8.0,0.022002485655034584,0.0004841093750000027,6.810910539347877,6.838,6.777,robotHigh,robotHigh
0,61.300000000000004,6.811,8.757142857142858,7.0,4.762665982966485,22.682987265306114,9.968477230034399,20.423,6.769,robotHigh,robotHigh
0,54.457,6.809,6.807125,8.0,0.021198098381694487,0.0004493593749999985,6.8071580064664285,6.848,6.773,robotHigh,robotHigh
0,13.608,6.804,6.804,2.0,0.028999999999999915,0.0008409999999999951,6.804061801600571,6.833,6.775,robotHigh,robotHigh
