,0__sum_values,0__median,0__mean,0__length,0__standard_deviation,0__variance,0__root_mean_square,0__maximum,0__minimum,raw_label,Label
0,96.94400000000002,6.4455,8.078666666666669,12.0,3.8235285259677205,14.61937038888889,8.93779757546567,19.324,6.435,robotMed,robotMed
0,68.89,3.444,3.6257894736842107,19.0,0.7677388933161126,0.5894230083102493,3.7061802864660365,6.883,3.441,robotHigh,robotHigh
0,81.705,6.8100000000000005,8.1705,10.0,4.083838249735168,16.67773485,9.134265438446596,20.422,6.797,robotMed,robotMed
0,111.714,7.9079999999999995,11.1714,10.0,7.439717161290476,55.34939144000002,13.42198082996694,32.31,7.884,robotHigh,robotHigh
0,24.075,12.0375,12.0375,2.0,4.115499999999999,16.937340249999995,12.721585848470307,16.153,7.922,robotHigh,robotHigh
0,82.849,5.2515,6.904083333333333,12.0,3.914079446015655,15.32001790972222,7.936396196217357,13.71,3.499,robotMed,robotMed
0,88.542,6.8125,7.3785,12.0,1.8819143400626215,3.5416015833333323,7.614713640927892,13.62,6.789,robotHigh,robotHigh
