Sr No,Timestamp,,,Device Name,MAC Address,RSSI,Raw Data
1,03-03-2022 01:21:01:673,,,-,00:A0:50:0C:22:10,-52,1a1310002150005000100001000800000805f9b013100017563c3
2,03-03-2022 01:21:05:118,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017563c3
3,03-03-2022 01:21:08:557,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
4,03-03-2022 01:21:15:437,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017563c3
5,03-03-2022 01:21:18:879,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
6,03-03-2022 01:21:39:530,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
7,03-03-2022 01:21:42:978,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
8,03-03-2022 01:21:53:306,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
9,03-03-2022 01:22:00:178,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
10,03-03-2022 01:22:07:061,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
11,03-03-2022 01:22:13:952,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
12,03-03-2022 01:22:20:829,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
13,03-03-2022 01:22:24:298,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
14,03-03-2022 01:22:31:165,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
15,03-03-2022 01:22:34:619,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
16,03-03-2022 01:22:55:253,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017663c3
17,03-03-2022 01:23:02:135,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
18,03-03-2022 01:23:12:464,,,-,00:A0:50:0C:22:10,-51,1a1310002150005000100001000800000805f9b013100017663c3
19,03-03-2022 01:23:15:933,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
20,03-03-2022 01:23:19:352,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017563c3
21,03-03-2022 01:23:29:671,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017563c3
22,03-03-2022 01:23:33:107,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017563c3
23,03-03-2022 01:23:36:545,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
24,03-03-2022 01:23:39:992,,,-,00:A0:50:0C:22:10,-49,1a1310002150005000100001000800000805f9b013100017663c3
25,03-03-2022 01:23:50:326,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
26,03-03-2022 01:23:57:213,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
27,03-03-2022 01:24:00:652,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017563c3
28,03-03-2022 01:24:07:534,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017663c3
29,03-03-2022 01:24:14:409,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017563c3
30,03-03-2022 01:24:17:852,,,-,00:A0:50:0C:22:10,-50,1a1310002150005000100001000800000805f9b013100017563c3
31,03-03-2022 01:24:21:301,,,-,00:A0:50:0C:22:10,-55,1a1310002150005000100001000800000805f9b013100017563c3
