Sr No,Timestamp,Device Name,MAC Address,RSSI,Raw Data,,,,,Timestamp
1,26-12-2021 16:32:44:095,-,00:A0:50:0C:22:10,-71,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:32:44:095
2,26-12-2021 16:32:47:546,-,00:A0:50:0C:22:10,-64,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:32:47:546
3,26-12-2021 16:32:57:906,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:32:57:906
4,26-12-2021 16:33:01:357,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:01:357
5,26-12-2021 16:33:04:807,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:04:807
6,26-12-2021 16:33:08:263,-,00:A0:50:0C:22:10,-64,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:08:263
7,26-12-2021 16:33:11:713,-,00:A0:50:0C:22:10,-64,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:11:713
8,26-12-2021 16:33:15:171,-,00:A0:50:0C:22:10,-64,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:15:171
9,26-12-2021 16:33:22:069,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:22:069
10,26-12-2021 16:33:25:522,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:25:522
11,26-12-2021 16:33:28:977,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:28:977
12,26-12-2021 16:33:32:429,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:32:429
13,26-12-2021 16:33:35:880,-,00:A0:50:0C:22:10,-59,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:35:880
14,26-12-2021 16:33:39:332,-,00:A0:50:0C:22:10,-61,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:39:332
15,26-12-2021 16:33:42:786,-,00:A0:50:0C:22:10,-64,1a1310002150005000100001000800000805f9b013100015e62c3,,,,,26-12-2021 16:33:42:786
